uid,position,name,line
e251,4,Barbican,Metropolitan-Main
e252,5,Farringdon,Metropolitan-Main
e253,6,King’s Cross St. Pancras,Metropolitan-Main
e254,7,Euston Square,Metropolitan-Main
e255,8,Great Portland Street,Metropolitan-Main
e256,9,Baker Street,Metropolitan-Main
e257,10,Finchley Road,Metropolitan-Main
e258,11,Wembley Park,Metropolitan-Main
e259,12,Preston Road,Metropolitan-Main
e260,13,Northwick Park,Metropolitan-Main
e261,14,Harrow-on-the-Hill,Metropolitan-Main
e262,15,North Harrow,Metropolitan-Main
e263,16,Pinner,Metropolitan-Main
e264,17,Northwood Hills,Metropolitan-Main
e265,18,Northwood,Metropolitan-Main
e266,19,Moor Park,Metropolitan-Main
e267,20,Rickmansworth,Metropolitan-Main
e268,21,Chorleywood,Metropolitan-Main
e269,22,Chalfont & Latimer,Metropolitan-Main
e270,23,Amersham,Metropolitan-Main
e271,1,Harrow-on-the-Hill,Metropolitan-Uxbridge
e272,2,West Harrow,Metropolitan-Uxbridge
e273,3,Rayners Lane,Metropolitan-Uxbridge
e274,4,Eastcote,Metropolitan-Uxbridge
e275,5,Ruislip Manor,Metropolitan-Uxbridge
e276,6,Ruislip,Metropolitan-Uxbridge
e277,7,Ickenham,Metropolitan-Uxbridge
e278,8,Hillingdon,Metropolitan-Uxbridge
e279,9,Uxbridge,Metropolitan-Uxbridge
e280,1,Moor Park,Metropolitan-Watford
e281,2,Croxley,Metropolitan-Watford
e282,3,Watford,Metropolitan-Watford
e283,1,Kennington,Northern-Battersea Power Station
e284,2,Nine Elms,Northern-Battersea Power Station
e285,3,Battersea Power Station,Northern-Battersea Power Station
e286,1,Camden Town,Northern-Charing Cross
e287,2,Leicester Square,Northern-Charing Cross
e288,3,Charing Cross,Northern-Charing Cross
e289,4,Embankment,Northern-Charing Cross
e290,5,Waterloo,Northern-Charing Cross
e291,6,Kennington,Northern-Charing Cross
e292,1,Camden Town,Northern-High Barnet
e293,2,Kentish Town,Northern-High Barnet
e294,3,Tufnell Park,Northern-High Barnet
e295,4,Archway,Northern-High Barnet
e296,5,Highgate,Northern-High Barnet
e297,6,East Finchley,Northern-High Barnet
e298,7,Finchley Central,Northern-High Barnet
e299,8,West Finchley,Northern-High Barnet
e300,9,Woodside Park,Northern-High Barnet
e301,10,Totteridge & Whetstone,Northern-High Barnet
e302,11,High Barnet,Northern-High Barnet
e303,1,Edgware,Northern-Main
e304,2,Burnt Oak,Northern-Main
e305,3,Colindale,Northern-Main
e306,4,Hendon Central,Northern-Main
e307,5,Brent Cross,Northern-Main
e308,6,Golders Green,Northern-Main
e309,7,Hampstead,Northern-Main
e310,8,Belsize Park,Northern-Main
e311,9,Chalk Farm,Northern-Main
e312,10,Camden Town,Northern-Main
e313,11,Mornington Crescent,Northern-Main
e314,12,Euston,Northern-Main
e315,13,King’s Cross St. Pancras,Northern-Main
e316,14,Angel,Northern-Main
e317,15,Old Street,Northern-Main
e318,16,Moorgate,Northern-Main
e319,17,Bank,Northern-Main
e320,18,London Bridge,Northern-Main
e321,19,Borough,Northern-Main
e322,20,Elephant & Castle,Northern-Main
e323,21,Kennington,Northern-Main
e324,22,Oval,Northern-Main
e325,23,Stockwell,Northern-Main
e326,24,Clapham North,Northern-Main
e327,25,Clapham Common,Northern-Main
e328,26,Clapham South,Northern-Main
e329,27,Balham,Northern-Main
e330,28,Tooting Bec,Northern-Main
e331,29,Tooting Broadway,Northern-Main
e332,30,Colliers Wood,Northern-Main
e333,31,South Wimbledon,Northern-Main
e334,32,Morden,Northern-Main
e335,1,Finchley Central,Northern-Mill Hill East
e336,2,Mill Hill East,Northern-Mill Hill East
e337,1,Heathrow Terminals 2 & 3,Piccadilly-Heathrow
e338,2,Heathrow Terminal 4,Piccadilly-Heathrow
e339,3,Heathrow Terminals 2 & 3,Piccadilly-Heathrow
e340,1,Cockfosters,Piccadilly-Main
e341,2,Oakwood,Piccadilly-Main
e342,3,Southgate,Piccadilly-Main
e343,4,Arnos Grove,Piccadilly-Main
e344,5,Bounds Green,Piccadilly-Main
e345,6,Wood Green,Piccadilly-Main
e346,7,Turnpike Lane,Piccadilly-Main
e347,8,Manor House,Piccadilly-Main
e348,9,Finsbury Park,Piccadilly-Main
e349,10,Arsenal,Piccadilly-Main
e350,11,Holloway Road,Piccadilly-Main
e351,12,Caledonian Road,Piccadilly-Main
e352,13,King’s Cross St. Pancras,Piccadilly-Main
e353,14,Russell Square,Piccadilly-Main
e354,15,Holborn,Piccadilly-Main
e355,16,Covent Garden,Piccadilly-Main
e356,17,Leicester Square,Piccadilly-Main
e357,18,Piccadilly Circus,Piccadilly-Main
e358,19,Green Park,Piccadilly-Main
e359,20,Hyde Park Corner,Piccadilly-Main
e360,21,Knightsbridge,Piccadilly-Main
e361,22,South Kensington,Piccadilly-Main
e362,23,Gloucester Road,Piccadilly-Main
e363,24,Earl’s Court,Piccadilly-Main
e364,25,Barons Court,Piccadilly-Main
e365,26,Hammersmith,Piccadilly-Main
e366,27,Turnham Green,Piccadilly-Main
e367,28,Acton Town,Piccadilly-Main
e368,29,South Ealing,Piccadilly-Main
e369,30,Northfields,Piccadilly-Main
e370,31,Boston Manor,Piccadilly-Main
e371,32,Osterley,Piccadilly-Main
e372,33,Hounslow East,Piccadilly-Main
e373,34,Hounslow Central,Piccadilly-Main
e374,35,Hounslow West,Piccadilly-Main
e375,36,Hatton Cross,Piccadilly-Main
e376,37,Heathrow Terminals 2 & 3,Piccadilly-Main
e377,38,Heathrow Terminal 5,Piccadilly-Main
e378,1,Acton Town,Piccadilly-Uxbridge
e379,2,Ealing Common,Piccadilly-Uxbridge
e380,3,North Ealing,Piccadilly-Uxbridge
e381,4,Park Royal,Piccadilly-Uxbridge
e382,5,Alperton,Piccadilly-Uxbridge
e383,6,Sudbury Town,Piccadilly-Uxbridge
e384,7,Sudbury Hill,Piccadilly-Uxbridge
e385,8,South Harrow,Piccadilly-Uxbridge
e386,9,Rayners Lane,Piccadilly-Uxbridge
e387,10,Eastcote,Piccadilly-Uxbridge
e388,11,Ruislip Manor,Piccadilly-Uxbridge
e389,12,Ruislip,Piccadilly-Uxbridge
e390,13,Ickenham,Piccadilly-Uxbridge
e391,14,Hillingdon,Piccadilly-Uxbridge
e392,15,Uxbridge,Piccadilly-Uxbridge
e393,1,Brixton,Victoria
e394,2,Stockwell,Victoria
e395,3,Vauxhall,Victoria
e396,4,Pimlico,Victoria
e397,5,Victoria,Victoria
e398,6,Green Park,Victoria
e399,7,Oxford Circus,Victoria
e400,8,Warren Street,Victoria
e401,9,Euston,Victoria
e402,10,King’s Cross St. Pancras,Victoria
e403,11,Highbury & Islington,Victoria
e404,12,Finsbury Park,Victoria
e405,13,Seven Sisters,Victoria
e406,14,Tottenham Hale,Victoria
e407,15,Blackhorse Road,Victoria
e408,16,Walthamstow Central,Victoria
e409,1,Waterloo,Waterloo & City
e410,2,Bank,Waterloo & City
